,blazars/bla1823.dat,blazars/bla1802.dat,blazars/bla1731.dat,blazars/bla1717.dat
Freq3_harmonics_amplitude_2,0.02236296295439258,0.20758533787671904,0.07027966253781816,0.09026320221153986
Freq3_harmonics_amplitude_3,0.08982008611244721,0.2323344198483399,0.0926889902916605,0.01564769790174338
Freq3_harmonics_rel_phase_0,0.0,0.0,0.0,0.0
Freq3_harmonics_rel_phase_1,-2.3780614069096777,-1.4640809465141926,0.8229645410990126,2.53714631003772
Freq3_harmonics_rel_phase_2,-1.4829372202280922,0.08622430726186125,1.6522915298905532,0.2753884014301934
Freq3_harmonics_rel_phase_3,-0.18061973679969712,0.12736702844504197,0.18268447347397987,0.07023901098209318
Gskew,1.7423329999999986,1.3958484999999996,2.917754500000001,1.5607870000000048
LinearTrend,-0.0009728436720935508,-0.0012585108041114155,-0.0013561407910338788,-0.0007555997603589121
MaxSlope,424.9025923923441,542.4864421674733,612.3694178517536,485.9523366367367
Mean,13.131942272727276,14.888630959183674,13.516072519999998,14.696824333333332
Meanvariance,0.0387378155020542,0.06082384440601332,0.05309678987610075,0.023878264969483576
MedianAbsDev,0.12038599999999988,0.6819170000000021,0.08646050000000116,0.09258899999999848
MedianBRP,0.8636363636363636,0.2857142857142857,0.92,0.9365079365079365
PairSlopeTrend,-0.03333333333333333,0.03333333333333333,-0.03333333333333333,-0.03333333333333333
PercentAmplitude,0.16544710548771652,0.18299365955346147,0.2735955038278156,0.15362477621938025
PercentDifferenceFluxPercentile,0.16120174586822544,0.2293855386121427,0.2328938916335382,0.048151691841965064
PeriodLS,0.9967444298119864,0.9978027700839128,0.9961933814811808,1.0002531148417453
Period_fit,1.0,0.0005638140229740074,1.0,1.0
Psi_CS,0.1718879051587351,0.20542542300757938,0.181695672931361,0.1807122728736788
Psi_eta,1.199014989768493,0.7878627033356723,1.1109095864719452,1.7445509780025958
Q31,0.2718324999999986,1.4170269999999991,0.16477575000000222,0.16704250000000087
Rcs,0.26809135208250473,0.3953057856273353,0.25384935613395954,0.16922272863696783
Skew,2.9117336255352995,0.8457890024560686,3.59860523502933,4.563884718952898
SlottedA_length,1.0,10.0,1.0,1.0
SmallKurtosis,9.569135390717927,0.753909752551595,14.956944591652842,26.748465560109672
Std,0.5087027569445355,0.9055837728799406,0.7176600625445795,0.3509346656412871
StetsonK_AC,0.3303391758570417,0.7771124755530054,0.43397793922525174,0.5302529685986606
StructureFunction_index_21,1.2722485112849926,1.868266982484934,1.6282310656326846,1.625007121871904
StructureFunction_index_31,1.3540577788211816,2.6129221382078835,2.142013085805065,2.10663182684683
StructureFunction_index_32,1.0692831645697984,1.4157255625575074,1.3295794756154138,1.306584975908048
